Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4073445,10.39674593241552,4.5457115,11.39674593241552,11.39674593241552,4.3406854,0.23662253,9.903803e-05,0.29807606,0.0002972103,1.0
20000,1.3922821,183.70909090909092,9.24445,184.70909090909092,184.70909090909092,0.64095265,0.24105862,9.701363e-05,0.29402733,0.0002913396,1.0
30000,1.3880593,270.44736842105266,9.640409,271.44736842105266,271.44736842105266,0.514654,0.23903976,9.499954e-05,0.28999907,0.00028549862,1.0
40000,1.3795184,164.84126984126985,9.58048,150.29032258064515,150.29032258064515,0.8116293,0.24589463,9.299228e-05,0.28598464,0.0002796777,1.0
50000,1.3686786,80.46153846153847,9.224181,90.34745762711864,90.34745762711864,1.5089658,0.2412558,9.099546e-05,0.28199092,0.00027388686,1.0
60000,1.3610677,78.5,9.150665,79.5,79.5,1.2324439,0.2418041,8.8998066e-05,0.27799612,0.0002680944,1.0
70000,1.3546269,461.6190476190476,9.786054,462.6190476190476,462.6190476190476,0.2432664,0.24482106,8.699519e-05,0.27399036,0.00026228605,1.0
80000,1.3549517,None,9.998366,None,None,0.0028292094,0.244164,8.499642e-05,0.26999283,0.00025648958,1.0
90000,1.3485738,1442.357142857143,9.880287,1443.357142857143,1443.357142857143,0.2369635,0.23898646,8.300041e-05,0.2660008,0.00025070118,1.0
100000,1.3365917,218.3695652173913,9.775923,219.3695652173913,219.3695652173913,0.639589,0.23794015,8.1007856e-05,0.26201567,0.00024492276,1.0
110000,1.3256532,531.8888888888889,9.928668,532.8888888888889,532.8888888888889,0.25986353,0.24291855,7.899604e-05,0.25799206,0.00023908849,1.0
120000,1.315012,125.1,9.49506,126.1,126.1,1.0281779,0.2388926,7.6993594e-05,0.25398713,0.00023328136,1.0
130000,1.2986993,267.3939393939394,9.77024,268.3939393939394,268.3939393939394,0.37466142,0.24542724,7.500811e-05,0.2500162,0.0002275235,1.0
140000,1.2891078,565.5714285714286,9.953364,566.5714285714286,566.5714285714286,0.0988936,0.2387153,7.299934e-05,0.24599862,0.00022169802,1.0
150000,1.2824155,1401.0,9.980014,1402.0,1402.0,0.2358965,0.24097985,7.09938e-05,0.24198754,0.00021588194,1.0
160000,1.2735503,410.2,9.982668,411.2,411.2,0.12324083,0.24248521,6.900407e-05,0.23800808,0.00021011173,1.0
170000,1.267993,5344.0,9.9879055,5345.0,5345.0,0.039055772,0.2465524,6.7006906e-05,0.23401375,0.00020431992,1.0
180000,1.2644001,300.04,9.840663,301.04,301.04,0.2845009,0.23993813,6.499988e-05,0.22999969,0.00019849958,1.0
190000,1.2622049,269.1707317073171,9.710981,270.1707317073171,270.1707317073171,0.5115249,0.24576502,6.30038e-05,0.2260075,0.00019271093,1.0
200000,1.2563273,1095.0,9.94417,1096.0,1096.0,0.14546871,0.24451561,6.100068e-05,0.2220013,0.00018690185,1.0
210000,1.2517728,609.0,9.9166155,610.0,610.0,0.23198624,0.24928491,5.8997117e-05,0.21799418,0.00018109159,1.0
220000,1.244211,265.34615384615387,9.74031,266.34615384615387,266.34615384615387,0.36408308,0.24039467,5.7001354e-05,0.21400265,0.00017530381,1.0
230000,1.2448438,465.55555555555554,9.805169,466.55555555555554,466.55555555555554,0.36183745,0.23606053,5.5005316e-05,0.21001057,0.00016951533,1.0
240000,1.2415324,None,10.000268,None,None,0.0006498574,0.24598049,5.3009437e-05,0.20601882,0.00016372728,1.0
250000,1.2382582,2212.777777777778,9.983363,2213.777777777778,2213.777777777778,0.15860245,0.24029532,5.1002415e-05,0.20200476,0.00015790688,1.0
260000,1.2338097,1997.3333333333333,9.993621,1998.3333333333333,1998.3333333333333,0.06840911,0.24856952,4.9001363e-05,0.19800265,0.00015210384,1.0
270000,1.2295214,2003.6666666666667,9.964977,2004.6666666666667,2004.6666666666667,0.107928105,0.24365291,4.7006764e-05,0.19401345,0.00014631951,1.0
280000,1.22335,None,9.999836,None,None,0.0005530021,0.23422413,4.5010445e-05,0.1900208,0.00014053019,1.0
290000,1.2184267,None,10.002723,None,None,0.00011189578,0.23466857,4.300085e-05,0.1860016,0.00013470234,1.0
300000,1.2186561,None,10.000498,None,None,0.00012937309,0.24258949,4.0991257e-05,0.1819824,0.00012887448,1.0
310000,1.2182633,None,9.9999,None,None,0.00013074266,0.24663989,3.899446e-05,0.17798881,0.00012308378,1.0
